caseid,task,user,end_timestamp,role,dur,ac_index,rl_index,dur_norm
1-236817141,Accepted-In Progress,Tomas,Wed Jun 04 12:02:18 CEST 2008,Rolle 1,0,2,2,0.0
1-236817141,Accepted-Wait,Tomas,Wed Dec 02 14:24:34 CET 2009,Rolle 1,47186536,5,2,0.6797226614498547
1-236817141,Queued-Awaiting Assignment,Tomas,Wed Aug 25 11:06:45 CEST 2010,Rolle 1,22966931,1,2,0.6520233399940797
1-236817141,Accepted-In Progress,Tomas,Sat Sep 03 08:02:11 CEST 2011,Rolle 1,32302526,2,2,0.6651445405137909
1-236817141,Accepted-Assigned,Niklas,Mon Nov 14 16:09:27 CET 2011,Rolle 1,6253636,3,2,0.6019800471270995
1-236817141,Accepted-In Progress,Tomas,Thu Jan 05 14:08:18 CET 2012,Rolle 1,4485531,2,2,0.5891967499794465
1-236817141,Completed-Closed,Tomas,Thu Jan 05 14:09:00 CET 2012,Rolle 1,42,4,2,0.14468749593872623
1-270399977,Accepted-In Progress,Juan,Thu Nov 13 09:43:32 CET 2008,Rolle 1,0,2,2,0.0
1-270399977,Accepted-In Progress,Juan,Mon Jan 30 10:56:24 CET 2012,Rolle 1,101351572,2,2,0.7091312740371718
1-270399977,Accepted-In Progress,Juan,Mon Jan 30 11:12:05 CET 2012,Rolle 1,941,2,2,0.2634320708487314
1-270399977,Queued-Awaiting Assignment,Earl,Thu Feb 16 14:52:16 CET 2012,Rolle 1,1482011,1,2,0.5465946282297474
1-270399977,Accepted-In Progress,Juan,Thu Feb 16 15:09:17 CET 2012,Rolle 1,1021,2,2,0.26656769083990084
1-270399977,Queued-Awaiting Assignment,Earl,Thu Feb 16 15:09:43 CET 2012,Rolle 1,26,1,2,0.126785698313415
1-270399977,Accepted-In Progress,Juan,Thu Feb 16 15:10:10 CET 2012,Rolle 1,27,2,2,0.12818470480241276
1-270399977,Completed-Closed,Juan,Mon Mar 19 09:26:32 CET 2012,Rolle 1,2744182,4,2,0.5702943706537635
1-270427461,Accepted-In Progress,Tomas,Thu Nov 13 11:01:04 CET 2008,Rolle 1,0,2,2,0.0
1-270427461,Accepted-Wait,Tomas,Wed Dec 02 14:24:35 CET 2009,Rolle 1,33189811,5,2,0.6661869389879356
1-270427461,Accepted-In Progress,Tomas,Mon Nov 14 15:57:27 CET 2011,Rolle 1,61522372,2,2,0.6899280411892909
1-270427461,Accepted-In Progress,Carrie,Wed Jan 18 10:17:14 CET 2012,Rolle 1,5595587,2,2,0.5977029420675993
1-270427461,Completed-Closed,Carrie,Wed Jan 18 10:19:21 CET 2012,Rolle 1,127,4,2,0.18665002858429214
1-310231291,Accepted-In Progress,Mats,Thu Jun 25 09:47:52 CEST 2009,Rolle 1,0,2,2,0.0
1-310231291,Accepted-In Progress,Mats,Wed Mar 28 13:10:36 CEST 2012,Rolle 1,87016964,2,2,0.7032651335944355
1-310231291,Completed-Closed,Mats,Wed Mar 28 13:12:08 CEST 2012,Rolle 1,92,4,2,0.1743620255729343
1-316086072,Accepted-In Progress,Per,Tue Aug 11 08:44:51 CEST 2009,Rolle 1,0,2,2,0.0
1-316086072,Queued-Awaiting Assignment,Per,Tue Aug 11 08:55:12 CEST 2009,Rolle 1,621,1,2,0.2474651613613057
1-316086072,Accepted-Assigned,Per,Tue Aug 11 12:01:25 CEST 2009,Rolle 1,11173,3,2,0.35857758566959635
1-316086072,Queued-Awaiting Assignment,Per,Tue May 18 12:35:53 CEST 2010,Rolle 1,24194068,1,2,0.6540257021722238
1-316086072,Accepted-In Progress,Tony,Wed Jun 16 12:00:32 CEST 2010,Rolle 1,2503479,2,2,0.5667629051018876
1-316086072,Accepted-Wait,Tony,Sat Oct 01 22:40:28 CEST 2011,Rolle 1,40819196,5,2,0.6741464253239392
1-316086072,Queued-Awaiting Assignment,Tony,Wed Dec 07 12:41:00 CET 2011,Rolle 1,5756432,1,2,0.598793121538317
1-316086072,Accepted-In Progress,Reza,Wed Feb 15 12:01:20 CET 2012,Rolle 1,6045620,2,2,0.6006786980779512
1-316086072,Completed-Closed,Reza,Sun Feb 19 21:57:21 CET 2012,Rolle 1,381361,4,2,0.4943773061715804
1-320604521,Accepted-In Progress,Richard,Mon Sep 07 14:33:24 CEST 2009,Rolle 1,0,2,2,0.0
1-320604521,Unmatched-Unmatched,Richard,Mon Sep 14 11:37:50 CEST 2009,Rolle 1,594266,7,2,0.511441123038054
1-320604521,Completed-Closed,Richard,Mon Apr 30 12:21:43 CEST 2012,Rolle 1,82860233,4,2,0.7013821866539094
1-322204195,Queued-Awaiting Assignment,Adam,Wed Sep 16 22:42:12 CEST 2009,Rolle 1,0,1,2,0.0
1-322204195,Accepted-In Progress,Adam,Mon Sep 28 11:26:19 CEST 2009,Rolle 1,996247,2,2,0.5313165154254559
1-322204195,Accepted-Wait,Adam,Mon Sep 28 11:26:30 CEST 2009,Rolle 1,11,5,2,0.09559047903331704
1-322204195,Queued-Awaiting Assignment,Adam,Thu Apr 08 12:09:22 CEST 2010,Rolle 1,16591372,1,2,0.639514458516299
1-322204195,Queued-Awaiting Assignment,Adam,Thu Apr 08 12:11:51 CEST 2010,Rolle 1,149,1,2,0.19275131645881735
1-322204195,Accepted-In Progress,Adam,Mon Apr 12 10:05:58 CEST 2010,Rolle 1,338047,2,2,0.4897395066588608
1-322204195,Accepted-Wait,Adam,Mon Apr 12 10:10:24 CEST 2010,Rolle 1,266,5,2,0.21493273229410992
1-322204195,Accepted-In Progress,Adam,Tue Oct 18 16:09:14 CEST 2011,Rolle 1,47887130,2,2,0.6802896164379223
1-322204195,Accepted-Wait,Adam,Thu May 24 10:02:19 CEST 2012,Rolle 1,18899585,5,2,0.6445252479160178
1-322204195,Completed-Closed,Adam,Thu May 24 11:03:31 CEST 2012,Rolle 1,3672,4,2,0.3157783361714278
1-322581861,Accepted-In Progress,Stefan,Fri Sep 18 12:50:02 CEST 2009,Rolle 1,0,2,2,0.0
1-322581861,Unmatched-Unmatched,Stefan,Tue Nov 17 14:07:38 CET 2009,Rolle 1,5192256,7,2,0.5948251199921764
1-322581861,Completed-Closed,Stefan,Tue Mar 13 11:53:35 CET 2012,Rolle 1,73172757,4,2,0.6965993261434763
1-322980802,Accepted-In Progress,Kerstin,Mon Sep 21 14:13:43 CEST 2009,Rolle 1,0,2,2,0.0
1-322980802,Completed-Closed,Kerstin,Tue Feb 07 13:22:11 CET 2012,Rolle 1,75082108,4,2,0.6975902388145863
1-323264491,Accepted-In Progress,Reine,Tue Sep 22 14:22:05 CEST 2009,Rolle 1,0,2,2,0.0
1-323264491,Accepted-Assigned,Reine,Tue Sep 22 14:25:17 CEST 2009,Rolle 1,192,3,2,0.20244747471872818
1-323264491,Completed-Closed,Reine,Thu May 24 10:57:49 CEST 2012,Rolle 1,84227552,4,2,0.7020117934272989
1-323462732,Accepted-In Progress,Rajashekar,Wed Sep 23 11:52:27 CEST 2009,Rolle 1,0,2,2,0.0
1-323462732,Accepted-Assigned,Rajashekar,Mon Jan 04 09:00:17 CET 2010,Rolle 1,8892470,3,2,0.6155225435604943
1-323462732,Accepted-In Progress,Rajashekar,Wed Mar 17 16:36:20 CET 2010,Rolle 1,6248163,2,2,0.6019463659353678
1-323462732,Accepted-Assigned,Rajashekar,Tue Nov 09 12:35:55 CET 2010,Rolle 1,20462375,3,2,0.6475814832662745
1-323462732,Accepted-In Progress,Rajashekar,Tue Nov 09 14:20:48 CET 2010,Rolle 1,6293,2,2,0.33649697683594276
1-323462732,Accepted-In Progress,Kalpesh,Fri Mar 30 08:00:47 CEST 2012,Rolle 1,43778399,2,2,0.6768387567015982
1-323462732,Accepted-Assigned,Tise,Fri Mar 30 08:05:44 CEST 2012,Rolle 1,297,3,2,0.21915829132619666
1-323462732,Accepted-In Progress,TulasiPrasad,Thu Apr 19 10:01:14 CEST 2012,Rolle 1,1734930,2,2,0.5526559854407059
1-323462732,Completed-Closed,TulasiPrasad,Thu Apr 19 10:01:38 CEST 2012,Rolle 1,24,4,2,0.12382512722325634
1-327329880,Accepted-In Progress,Carrie,Wed Oct 14 18:12:54 CEST 2009,Rolle 1,0,2,2,0.0
1-327329880,Accepted-Wait,Carrie,Wed Dec 02 14:24:37 CET 2009,Rolle 1,4223503,5,2,0.586881258072617
1-327329880,Accepted-In Progress,Carrie,Fri Sep 02 00:22:08 CEST 2011,Rolle 1,55155451,2,2,0.6857255451134666
1-327329880,Accepted-In Progress,Carrie,Wed Feb 01 09:46:54 CET 2012,Rolle 1,13170286,2,2,0.6306313438175388
1-327329880,Completed-Closed,Carrie,Wed Feb 01 09:46:57 CET 2012,Rolle 1,3,4,2,0.053328579595512036
1-329451027,Accepted-Wait,Henrik,Mon Oct 26 14:47:10 CET 2009,Rolle 1,0,5,2,0.0
1-329451027,Unmatched-Unmatched,Henrik,Tue Oct 27 09:57:26 CET 2009,Rolle 1,69016,7,2,0.42861950314427505
1-329451027,Queued-Awaiting Assignment,Henrik,Tue Mar 02 13:44:22 CET 2010,Rolle 1,10900016,1,2,0.6233531552840033
1-329451027,Accepted-In Progress,Katarzyna,Tue Mar 02 13:46:10 CET 2010,Rolle 1,108,2,2,0.1804688282404816
1-329451027,Accepted-Wait,Katarzyna,Tue Mar 02 13:46:18 CET 2010,Rolle 1,8,5,2,0.08452379887561
1-329451027,Accepted-Assigned,Damian,Mon Apr 11 09:10:20 CEST 2011,Rolle 1,34971842,3,2,0.6681988495104666
1-329451027,Accepted-Assigned,Katarzyna,Mon Apr 11 09:11:48 CEST 2011,Rolle 1,88,3,2,0.1726708328563049
1-329451027,Accepted-Wait,Katarzyna,Mon Nov 28 08:21:27 CET 2011,Rolle 1,19958979,5,2,0.646623283874265
1-329451027,Accepted-In Progress,Katarzyna,Fri Mar 30 10:53:50 CEST 2012,Rolle 1,10632743,2,2,0.6223981358070961
1-329451027,Completed-Closed,Katarzyna,Fri Mar 30 10:53:53 CEST 2012,Rolle 1,3,4,2,0.053328579595512036
1-329647261,Accepted-In Progress,Henrik,Tue Oct 27 09:42:40 CET 2009,Rolle 1,0,2,2,0.0
1-329647261,Accepted-Wait,Henrik,Tue Oct 27 09:42:49 CET 2009,Rolle 1,9,5,2,0.0885768534093842
1-329647261,Queued-Awaiting Assignment,Henrik,Tue Mar 02 13:43:43 CET 2010,Rolle 1,10900854,1,2,0.6233561126475081
1-329647261,Accepted-In Progress,Ricardo,Tue Mar 02 13:44:26 CET 2010,Rolle 1,43,2,2,0.14557186681037712
1-329647261,Accepted-In Progress,Katarzyna,Wed Mar 03 08:04:11 CET 2010,Rolle 1,65985,2,2,0.4268918758411677
1-329647261,Accepted-Wait,Katarzyna,Sun Jun 13 22:32:03 CEST 2010,Rolle 1,8861272,5,2,0.6153873450823986
1-329647261,Accepted-Assigned,Damian,Mon Apr 11 09:12:04 CEST 2011,Rolle 1,26044801,3,2,0.6568612372698753
1-329647261,Accepted-Wait,Damian,Wed Nov 23 11:55:39 CET 2011,Rolle 1,19539815,5,2,0.6458067936724369
1-329647261,Completed-Closed,Damian,Thu Jan 19 08:55:41 CET 2012,Rolle 1,4914002,4,2,0.5927062940548631
1-330634474,Accepted-In Progress,Henrik,Fri Oct 30 13:49:04 CET 2009,Rolle 1,0,2,2,0.0
1-330634474,Accepted-Assigned,Henrik,Fri Oct 30 13:57:13 CET 2009,Rolle 1,489,3,2,0.2382891038231856
1-330634474,Queued-Awaiting Assignment,Henrik,Tue Mar 02 13:43:50 CET 2010,Rolle 1,10626397,1,2,0.6223751696197507
1-330634474,Accepted-In Progress,Katarzyna,Tue Mar 02 13:45:25 CET 2010,Rolle 1,95,2,2,0.1755833484265851
1-330634474,Accepted-Wait,Katarzyna,Tue Mar 02 13:45:37 CET 2010,Rolle 1,12,5,2,0.09866959702364068
1-330634474,Completed-Closed,Katarzyna,Fri Mar 30 10:54:30 CEST 2012,Rolle 1,65563733,4,2,0.6923754729016067
1-331478885,Accepted-In Progress,Roger,Wed Nov 04 08:07:28 CET 2009,Rolle 1,0,2,2,0.0
1-331478885,Accepted-In Progress,Roger,Wed Mar 03 15:51:55 CET 2010,Rolle 1,10309467,2,2,0.6212103996793371
1-331478885,Accepted-Assigned,Piotr,Wed Mar 03 15:52:18 CET 2010,Rolle 1,23,3,2,0.12225476883107306
1-331478885,Accepted-Assigned,Piotr,Mon May 24 17:04:58 CEST 2010,Rolle 1,7085560,3,2,0.6067845949669567
1-331478885,Accepted-Assigned,Henrik,Mon Aug 09 12:39:59 CEST 2010,Rolle 1,6636901,3,2,0.6042682296363265
1-331478885,Accepted-In Progress,Katarzyna,Mon Apr 02 10:18:59 CEST 2012,Rolle 1,52004340,2,2,0.6834625083162718
1-331478885,Completed-Closed,Katarzyna,Mon Apr 02 10:19:30 CEST 2012,Rolle 1,31,4,2,0.1333214489887801
1-332389008,Queued-Awaiting Assignment,Ingela,Mon Nov 09 16:38:14 CET 2009,Rolle 1,0,1,2,0.0
1-332389008,Accepted-In Progress,Ingela,Tue Nov 24 09:41:50 CET 2009,Rolle 1,1271016,2,2,0.5406865201442431
1-332389008,Accepted-Wait,Ingela,Fri Sep 10 10:45:16 CEST 2010,Rolle 1,25056206,5,2,0.6553726384218925
1-332389008,Accepted-In Progress,Ingela,Mon Mar 28 11:52:46 CEST 2011,Rolle 1,17197650,2,2,0.6408950885966617
1-332389008,Accepted-Wait,Ingela,Wed Jan 04 15:53:26 CET 2012,Rolle 1,24382840,5,2,0.654324683752451
1-332389008,Completed-Closed,Ingela,Fri Apr 13 13:41:36 CEST 2012,Rolle 1,8628490,4,2,0.6143632845049709
1-333164156,Accepted-In Progress,Liesbet,Thu Nov 12 13:41:27 CET 2009,Rolle 1,0,2,2,0.0
1-333164156,Accepted-In Progress,Liesbet,Fri Sep 17 10:33:52 CEST 2010,Rolle 1,26682745,2,2,0.6577921323376079
1-333164156,Queued-Awaiting Assignment,Timothy,Fri Nov 12 19:22:19 CET 2010,Rolle 1,4873707,1,2,0.5923895510506444
1-333164156,Accepted-Assigned,Ian,Tue Nov 23 15:10:22 CET 2010,Rolle 1,935283,3,2,0.5288873875482153
1-333164156,Accepted-Assigned,Alan,Fri Jan 07 14:55:04 CET 2011,Rolle 1,3887082,3,2,0.5836881426064412
1-333164156,Accepted-Wait,Alan,Tue Jan 11 17:13:42 CET 2011,Rolle 1,353918,5,2,0.49150444540110794
1-333164156,Accepted-In Progress,Lars,Thu May 19 15:45:16 CEST 2011,Rolle 1,11050294,2,2,0.623879894981222
1-333164156,Queued-Awaiting Assignment,Ibrahim,Thu May 19 15:49:04 CEST 2011,Rolle 1,228,1,2,0.2090268015894837
1-333164156,Accepted-In Progress,Ibrahim,Thu Aug 25 15:24:01 CEST 2011,Rolle 1,8465697,2,2,0.6136305697954548
1-333164156,Queued-Awaiting Assignment,Ward,Thu Aug 25 15:24:43 CEST 2011,Rolle 1,42,1,2,0.14468749593872623
1-333164156,Accepted-Assigned,Liesbet,Thu Aug 25 15:25:33 CEST 2011,Rolle 1,50,3,2,0.15125119317446326
1-333164156,Accepted-In Progress,Liesbet,Wed Oct 26 17:07:30 CEST 2011,Rolle 1,5362917,2,2,0.5960691797785775
1-333164156,Completed-Closed,Liesbet,Fri Mar 30 11:45:20 CEST 2012,Rolle 1,13459070,4,2,0.6314657240616177
1-335260940,Accepted-In Progress,Joris,Tue Nov 24 09:44:43 CET 2009,Rolle 1,0,2,2,0.0
1-335260940,Queued-Awaiting Assignment,Joris,Mon Nov 30 10:45:01 CET 2009,Rolle 1,522018,1,2,0.5064546621543213
1-335260940,Accepted-In Progress,Joris,Sun Mar 14 13:40:26 CET 2010,Rolle 1,8996125,2,2,0.6159683572414218
1-335260940,Unmatched-Unmatched,Joris,Sun Mar 14 13:40:36 CET 2010,Rolle 1,10,7,2,0.09224328721486509
1-335260940,Completed-Closed,Joris,Wed Jan 18 14:26:41 CET 2012,Rolle 1,58322765,4,2,0.6878735040948459
1-337229341,Unmatched-Unmatched,Lars,Fri Dec 04 12:10:14 CET 2009,Rolle 1,0,7,2,0.0
1-337229341,Accepted-Assigned,Lars,Mon Nov 29 11:52:49 CET 2010,Rolle 1,31102955,3,2,0.6636887947937801
1-337229341,Accepted-In Progress,Lars,Sat Apr 14 17:22:00 CEST 2012,Rolle 1,43388951,2,2,0.6764950143292442
1-337229341,Completed-Closed,Lars,Sat Apr 14 17:22:21 CEST 2012,Rolle 1,21,4,2,0.11890757701262111
1-338946805,Accepted-In Progress,Andre,Mon Dec 14 14:29:17 CET 2009,Rolle 1,0,2,2,0.0
1-338946805,Accepted-In Progress,Andre,Tue Jan 10 09:32:43 CET 2012,Rolle 1,65387006,2,2,0.6922716412495741
1-338946805,Completed-Closed,Andre,Tue Jan 10 09:33:57 CET 2012,Rolle 1,74,4,2,0.16608702666106132
1-339798202,Accepted-In Progress,Minnie,Wed Dec 16 12:59:24 CET 2009,Rolle 1,0,2,2,0.0
1-339798202,Accepted-In Progress,Minnie,Thu Mar 15 12:21:25 CET 2012,Rolle 1,70845721,2,2,0.695356079677025
1-339798202,Completed-Closed,Minnie,Thu Mar 15 12:21:47 CET 2012,Rolle 1,22,4,2,0.12061756691440828
1-339889001,Accepted-In Progress,Kenny,Wed Dec 16 20:47:26 CET 2009,Rolle 1,0,2,2,0.0
1-339889001,Accepted-In Progress,Kenny,Wed Mar 14 13:04:51 CET 2012,Rolle 1,70733845,2,2,0.6952952842388117
1-339889001,Completed-Closed,Kenny,Wed Mar 14 13:07:29 CET 2012,Rolle 1,158,4,2,0.19499283037677254
1-340984229,Accepted-In Progress,Jüri,Tue Dec 22 09:09:31 CET 2009,Rolle 1,0,2,2,0.0
1-340984229,Unmatched-Unmatched,Jüri,Tue Dec 22 09:25:22 CET 2009,Rolle 1,951,7,2,0.26383828833682704
1-340984229,Completed-Closed,Jüri,Wed Feb 01 12:38:06 CET 2012,Rolle 1,66625964,4,2,0.6929937245192144
1-341002175,Accepted-Wait,Jüri,Tue Dec 22 10:56:03 CET 2009,Rolle 1,0,5,2,0.0
1-341002175,Accepted-In Progress,Jüri,Wed Feb 01 12:39:50 CET 2012,Rolle 1,66620627,2,2,0.692990642923616
1-341002175,Completed-Closed,Jüri,Wed Feb 01 12:40:25 CET 2012,Rolle 1,35,4,2,0.13785237847112203
1-342442140,Accepted-In Progress,Lena,Tue Jan 05 16:42:20 CET 2010,Rolle 1,0,2,2,0.0
1-342442140,Completed-Closed,Lena,Tue Mar 20 16:14:00 CET 2012,Rolle 1,69550300,4,2,0.6946461701443944
1-345132462,Accepted-In Progress,Tomas,Thu Jan 14 10:34:54 CET 2010,Rolle 1,0,2,2,0.0
1-345132462,Accepted-Wait,Tomas,Wed Jan 27 10:43:29 CET 2010,Rolle 1,1123715,5,2,0.5359481195529447
1-345132462,Accepted-Assigned,Tomas,Wed Feb 03 10:20:05 CET 2010,Rolle 1,603396,3,2,0.5120276375339358
1-345132462,Accepted-Wait,Tomas,Mon Feb 22 08:33:08 CET 2010,Rolle 1,1635183,5,2,0.5503781804443424
1-345132462,Accepted-In Progress,Tomas,Fri Sep 02 00:17:47 CEST 2011,Rolle 1,48091479,2,2,0.6804534237439065
1-345132462,Accepted-In Progress,Carrie,Wed Feb 01 10:24:17 CET 2012,Rolle 1,13172790,2,2,0.6306386569318754
1-345132462,Completed-Closed,Carrie,Wed Feb 01 10:24:59 CET 2012,Rolle 1,42,4,2,0.14468749593872623
1-345255471,Accepted-In Progress,Mats,Thu Jan 14 15:02:21 CET 2010,Rolle 1,0,2,2,0.0
1-345255471,Queued-Awaiting Assignment,Mats,Fri Jan 15 15:10:22 CET 2010,Rolle 1,86881,1,2,0.4374748617530919
1-345255471,Queued-Awaiting Assignment,Mats,Fri Sep 23 15:06:05 CEST 2011,Rolle 1,53218543,1,2,0.6843503487698193
1-345255471,Accepted-In Progress,Mats,Wed Feb 08 08:11:21 CET 2012,Rolle 1,11901916,2,2,0.6267358824659209
1-345255471,Completed-Closed,Mats,Wed Feb 08 08:14:29 CET 2012,Rolle 1,188,4,2,0.2016418235203157
1-347461373,Accepted-In Progress,Daniel,Thu Jan 21 16:42:26 CET 2010,Rolle 1,0,2,2,0.0
1-347461373,Accepted-In Progress,Daniel,Wed Apr 11 16:38:17 CEST 2012,Rolle 1,70066551,2,2,0.6949306552908421
1-347461373,Completed-Closed,Daniel,Wed Apr 11 16:39:02 CEST 2012,Rolle 1,45,4,2,0.1472818567121643
1-347923966,Accepted-In Progress,Roger,Mon Jan 25 09:19:08 CET 2010,Rolle 1,0,2,2,0.0
1-347923966,Accepted-Assigned,Roger,Mon Feb 08 11:41:12 CET 2010,Rolle 1,1218124,3,2,0.5390514354644909
1-347923966,Accepted-In Progress,Roger,Wed Mar 03 15:54:09 CET 2010,Rolle 1,2002377,2,2,0.558171122057343
1-347923966,Accepted-Assigned,Barbara,Wed Mar 03 15:54:25 CET 2010,Rolle 1,16,3,2,0.10898929373665826
1-347923966,Accepted-In Progress,Barbara,Wed Mar 28 14:39:46 CEST 2012,Rolle 1,65310321,2,2,0.6922264995075088
1-347923966,Completed-Closed,Barbara,Wed Mar 28 14:39:49 CEST 2012,Rolle 1,3,4,2,0.053328579595512036
1-347924629,Accepted-In Progress,Ann,Mon Jan 25 07:44:36 CET 2010,Rolle 1,0,2,2,0.0
1-347924629,Accepted-Assigned,Ann,Fri Dec 16 10:26:27 CET 2011,Rolle 1,59625711,3,2,0.6887234402380304
1-347924629,Accepted-Wait,Ann,Fri Mar 30 13:09:18 CEST 2012,Rolle 1,9078171,5,2,0.6163176049076096
1-347924629,Completed-Closed,Ann,Fri Mar 30 13:24:18 CEST 2012,Rolle 1,900,4,2,0.2617202246756258
1-349857482,Accepted-In Progress,Anders,Wed Jan 27 13:58:09 CET 2010,Rolle 1,0,2,2,0.0
1-349857482,Completed-Closed,Anders,Wed Feb 29 12:20:13 CET 2012,Rolle 1,65917324,4,2,0.6925823791524277
1-351187625,Accepted-In Progress,Daniel,Tue Feb 02 15:50:20 CET 2010,Rolle 1,0,2,2,0.0
1-351187625,Accepted-In Progress,Daniel,Wed Apr 11 16:39:33 CEST 2012,Rolle 1,69032953,2,2,0.6943589547259607
1-351187625,Completed-Closed,Daniel,Wed Apr 11 16:40:09 CEST 2012,Rolle 1,36,4,2,0.13890637422902577
1-351314317,Accepted-In Progress,Ewa,Wed Feb 03 09:34:32 CET 2010,Rolle 1,0,2,2,0.0
1-351314317,Queued-Awaiting Assignment,Ewa,Wed Feb 03 09:45:18 CET 2010,Rolle 1,646,1,2,0.248981056416602
1-351314317,Accepted-In Progress,Ewa,Wed Feb 03 10:40:51 CET 2010,Rolle 1,3333,2,2,0.31205320711819756
1-351314317,Accepted-Assigned,Ewa,Wed Feb 03 10:40:58 CET 2010,Rolle 1,7,3,2,0.07999286939326805
1-351314317,Accepted-In Progress,Ewa,Tue Dec 20 22:25:19 CET 2011,Rolle 1,59226261,2,2,0.6884648618541257
1-351314317,Completed-Closed,Ewa,Tue Jan 03 13:13:02 CET 2012,Rolle 1,1176463,4,2,0.5377127545029274
1-351869391,Accepted-In Progress,Carrie,Fri Feb 05 10:00:12 CET 2010,Rolle 1,0,2,2,0.0
